GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,PiePlotState,0,80,0,0,0,34,0,21,0,21
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,CategoryCrosshairState,88,29,11,1,26,13,7,6,1,6
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,PolarPlot,1198,1103,178,104,340,312,158,77,53,41
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,DatasetRenderingOrder,12,49,4,6,5,17,5,6,1,5
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,MultiplePiePlot,365,416,50,34,95,126,37,30,6,19
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,CrosshairState,141,53,15,1,39,24,14,13,6,13
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,Crosshair,56,582,1,33,20,161,18,39,17,23
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,SpiderWebPlot,236,1447,43,101,72,412,55,86,19,50
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,CombinedDomainXYPlot,351,557,59,53,89,153,53,33,13,17
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,CombinedDomainCategoryPlot,301,550,49,47,81,149,46,27,10,15
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,WaferMapPlot,581,0,44,0,152,0,36,0,14,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,PolarAxisLocation,6,117,3,19,3,42,3,13,0,5
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,Marker,24,495,7,35,10,137,9,49,2,35
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,MeterPlot,178,1347,49,93,51,371,62,65,18,38
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,PieLabelLinkStyle,9,67,3,9,4,25,4,8,1,5
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,XYPlot,1777,4759,328,538,489,1328,289,375,50,181
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,DefaultDrawingSupplier,12,765,6,50,4,166,5,41,0,18
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,CategoryPlot,1208,4161,229,463,336,1191,215,352,44,177
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,RingPlot,422,262,45,25,123,91,37,28,14,16
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,CompassPlot,821,374,69,36,167,111,66,26,17,18
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,CenterTextMode,0,34,0,0,0,7,0,1,0,1
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,PiePlot3D,906,1123,89,59,251,271,56,30,2,10
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,MeterInterval,12,123,6,8,6,36,6,11,0,10
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,CombinedRangeCategoryPlot,200,513,41,45,53,146,38,25,6,14
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,PiePlot,983,2765,126,218,254,803,130,174,33,99
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,Plot,386,785,88,92,138,262,87,72,21,48
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,SeriesRenderingOrder,12,49,4,6,5,17,5,6,1,5
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,PieLabelDistributor,107,227,13,21,22,50,10,16,2,7
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,XYCrosshairState,3,0,0,0,2,0,1,0,1,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,AbstractPieLabelDistributor,0,31,0,0,0,10,0,5,0,5
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,ValueMarker,11,57,1,7,3,19,2,8,1,5
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,IntervalMarker,20,116,2,10,5,34,4,13,2,9
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,ThermometerPlot,1185,761,118,74,269,201,125,45,48,25
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,CategoryMarker,6,93,3,7,3,27,3,10,0,8
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,PlotOrientation,6,66,2,8,2,24,3,10,1,7
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,CombinedRangeXYPlot,352,508,59,43,96,144,50,29,12,16
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,PieLabelRecord,38,157,7,19,10,46,10,19,4,12
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,PlotState,0,11,0,0,0,4,0,2,0,2
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,DialShape,24,48,8,4,9,14,7,5,1,5
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,FastScatterPlot,213,804,37,65,70,233,49,52,20,30
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.plot,PlotRenderingInfo,45,148,9,11,13,42,8,16,1,13
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.imagemap,DynamicDriveToolTipTagFragmentGenerator,48,0,0,0,12,0,3,0,3,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.imagemap,ImageMapUtils,125,128,12,22,40,41,12,13,6,2
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.imagemap,StandardToolTipTagFragmentGenerator,0,14,0,0,0,4,0,2,0,2
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.imagemap,StandardURLTagFragmentGenerator,0,13,0,0,0,3,0,2,0,2
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.imagemap,OverLIBToolTipTagFragmentGenerator,0,14,0,0,0,5,0,2,0,2
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.editor,DefaultLogAxisEditor,156,0,12,0,46,0,13,0,7,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.editor,DefaultTitleEditor,385,0,20,0,100,0,21,0,11,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.editor,DefaultValueAxisEditor,546,0,32,0,149,0,36,0,20,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.editor,DefaultNumberAxisEditor,199,0,12,0,56,0,13,0,7,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.editor,DefaultChartEditor,422,0,6,0,101,0,12,0,9,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.editor,DefaultChartEditorFactory,8,0,0,0,3,0,2,0,2,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.editor,DefaultPlotEditor,934,0,100,0,262,0,68,0,18,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.editor,DefaultPolarPlotEditor,241,0,12,0,66,0,15,0,9,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.editor,ChartEditorManager,17,0,0,0,6,0,4,0,4,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.editor,DefaultAxisEditor,591,0,22,0,137,0,29,0,18,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.urls,StandardPieURLGenerator,28,127,3,11,5,35,3,10,0,6
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.urls,CustomPieURLGenerator,13,159,7,17,5,39,8,12,1,7
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.urls,CustomXYURLGenerator,17,139,10,18,7,39,10,12,1,7
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.urls,StandardXYZURLGenerator,9,0,0,0,2,0,2,0,2,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.urls,TimeSeriesURLGenerator,33,192,5,15,7,45,9,9,4,4
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.urls,StandardCategoryURLGenerator,51,165,9,11,11,43,8,9,2,5
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.urls,URLUtilities,54,0,0,0,16,0,3,0,3,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.urls,StandardXYURLGenerator,58,64,8,6,10,22,7,5,1,4
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.urls,CustomCategoryURLGenerator,17,139,10,18,7,40,10,12,1,7
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.data.json,JSONUtils,224,0,20,0,69,0,15,0,5,0
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.title,DateTitle,10,43,0,0,2,13,1,4,1,4
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.title,ShortTextTitle,289,12,43,1,66,4,28,2,6,2
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.title,LegendTitle,116,596,20,42,34,167,29,37,12,23
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.title,TextTitle,507,592,94,56,134,171,72,40,12,25
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.title,LegendItemBlockContainer,9,78,1,3,3,25,4,7,3,6
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.title,LegendGraphic,118,497,30,44,31,151,29,47,9,30
"jfreechart (Apr 4, 2019 1:18:13 AM)/jfreechart/src/main/java",org.jfree.chart.title,PaintScaleLegend,750,314,68,24,169,93,49,27,13,17
