GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,7,0,0,0,2,0,2,0,2
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer,30,297,5,28,15,76,7,19,2,7
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.Formula,0,24,0,0,0,5,0,1,0,1
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.BracketingStep,9,0,0,0,4,0,2,0,2,0
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.ml.neuralnet.sofm.util,QuasiSigmoidDecayFunction,0,83,0,6,0,18,0,5,0,2
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.ml.neuralnet.sofm.util,ExponentialDecayFunction,0,70,0,8,0,13,0,6,0,2
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,BrentOptimizer,23,470,5,69,6,136,5,37,0,5
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,UnivariateMultiStartOptimizer.new Comparator() {...},6,33,3,5,1,9,3,3,0,2
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,BracketFinder,80,324,16,30,19,81,17,18,5,7
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,UnivariateMultiStartOptimizer,24,134,4,10,5,28,6,9,2,6
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,SimpleUnivariateValueChecker,6,67,2,8,3,16,3,6,1,3
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,UnivariatePointValuePair,0,15,0,0,0,6,0,3,0,3
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.univariate,BaseAbstractUnivariateOptimizer,8,94,2,2,2,26,2,11,0,11
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,ModelSpecificationException,0,5,0,0,0,2,0,1,0,1
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,OLSMultipleLinearRegression,0,223,0,12,0,44,0,18,0,12
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,RegressionResults,173,314,28,30,35,61,28,18,4,13
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,MillerUpdatingRegression,511,2529,66,208,94,447,57,104,2,22
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,GLSMultipleLinearRegression,21,95,0,2,3,21,1,7,1,6
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,AbstractMultipleLinearRegression,38,402,6,42,6,80,7,37,1,19
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.stat.regression,SimpleRegression,399,1183,44,80,55,187,33,61,2,30
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.oned,Euclidean1D.LazyHolder,0,6,0,0,0,1,0,1,0,1
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.oned,Euclidean1D,0,10,0,0,0,4,0,4,0,4
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.oned,SubOrientedPoint,2,46,0,4,1,10,1,6,1,4
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.oned,Euclidean1D.NoSubSpaceException,0,11,0,0,0,2,0,1,0,1
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.oned,IntervalsSet,102,600,15,77,20,133,17,60,5,26
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.oned,Vector1D,11,339,1,15,3,74,2,41,1,34
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.oned,Interval,12,77,0,10,4,16,4,11,4,6
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.oned,OrientedPoint,31,53,2,4,8,12,7,9,6,7
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.oned,Vector1DFormat,15,77,1,3,5,19,2,9,1,8
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.geometry.euclidean.oned,IntervalsSet.SubIntervalsIterator,8,162,1,21,2,38,2,14,1,4
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.linear,LinearConstraint,75,72,7,5,18,22,9,8,3,8
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.linear,UnboundedSolutionException,0,6,0,0,0,2,0,1,0,1
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.linear,SimplexTableau,50,1006,11,117,14,184,14,82,3,29
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.linear,Relationship,3,56,0,3,1,14,1,5,1,3
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.linear,AbstractLinearOptimizer,7,58,1,1,1,19,1,10,0,10
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.linear,SimplexSolver,0,341,0,54,0,82,0,34,0,7
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.linear,NoFeasibleSolutionException,0,6,0,0,0,2,0,1,0,1
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.optimization.linear,LinearObjectiveFunction,23,72,4,4,4,19,6,8,2,8
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,TransformerMap,36,134,8,12,9,31,8,14,1,11
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,FastMath.lnMant,0,3,0,0,0,2,0,1,0,1
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,IterationManager,33,98,0,8,9,23,4,13,4,9
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,OpenIntToFieldHashMap.Iterator,17,95,4,12,4,22,4,9,0,5
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,MathArrays.PairDoubleInteger,0,15,0,0,0,6,0,3,0,3
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,MultidimensionalCounter,30,229,2,22,4,47,2,18,1,7
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,CombinatoricsUtils,14,686,2,96,2,127,3,56,1,9
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,FastMathCalc,1916,0,62,0,315,0,48,0,17,0
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,OpenIntToFieldHashMap,12,693,0,68,5,155,2,57,2,23
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,MathArrays.new Comparator() {...},0,9,0,0,0,3,0,2,0,2
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,IterationManager.new IntegerSequence.Incrementor.MaxCountExceededCallback() {...},11,0,0,0,4,0,2,0,2,0
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,Pair,13,110,5,15,3,24,6,14,1,9
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,FastMath.Split,9,234,1,21,1,37,1,17,0,7
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,MathArrays.new Comparator() {...},0,9,0,0,0,3,0,2,0,2
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,MathUtils,40,209,22,44,7,43,16,32,0,15
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,Precision,89,636,33,98,3,129,24,67,3,19
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,Combinations.LexicographicComparator,0,114,0,14,0,27,0,10,0,3
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,ResizableDoubleArray.ExpansionMode,0,24,0,0,0,5,0,1,0,1
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,FastMath.ExpIntTable,0,5,0,0,0,3,0,1,0,1
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,IntegerSequence.Incrementor,17,157,1,13,4,48,3,20,2,14
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,RandomPivotingStrategy,18,6,0,0,2,3,1,1,1,1
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,FastMath.ExpFracTable,0,5,0,0,0,3,0,1,0,1
"commons-math3 (Apr 3, 2019 7:20:47 PM)/commons-math3/src/main/java",org.apache.commons.math3.util,Combinations.LexicographicIterator,12,181,3,15,4,39,4,9,1,3
